unit_id,architecture,rationale_category,evidence_maturity,note
U01,P,CROSS_REGIONAL_SCALING,PRIMARY_SCOPE,"Tokyo-region startup linkage / expansion mandate"
U02,HP,INTEGRATED_ECOSYSTEM_PLATFORM,PRIMARY_SCOPE,"co-creation/startup platform with local and external links"
U03,HP,INTEGRATED_STARTUP_ECOSYSTEM,PRIMARY_SCOPE,"large integrated startup support portfolio"
U04,HP,INNOVATION_COMMERCIALIZATION_NETWORK,PRIMARY_SCOPE,"OIH integrated innovation support"
U05,P,GLOBAL_MARKET_ACCESS,PRIMARY_SCOPE,"dedicated overseas expansion program"
U06,HP,INTEGRATED_STARTUP_SUPPORT,PRIMARY_SCOPE,"local startup support plus external/global functions"
U07,H,LOCAL_COCREATION_COORDINATION,PRIMARY_SCOPE,"local co-creation/matching focus"
U08,HP,LOCAL_ECOSYSTEM_PLUS_EXTERNAL_RESOURCES,PRIMARY_SCOPE,"local exchange plus Tokyo/external resource import"
U09,HP,REGIONAL_INNOVATION_COMMUNITY_PLUS_OUTSIDE_ACCESS,BOUNDARY_ADJUDICATED,"P evidence threshold adjudicated"
U10,H,LOCAL_STARTUP_COMMUNITY,PRIMARY_SCOPE,"local entrepreneurship and matching hub"
U11,HP,INTEGRATED_INNOVATION_SUPPORT,BOUNDARY_ADJUDICATED,"P evidence threshold adjudicated"
U12,H,LOCAL_INNOVATION_COMMUNITY,PRIMARY_SCOPE,"regional innovation hub functions"
U13,H,LOCAL_STARTUP_COMMUNITY,PRIMARY_SCOPE,"local startup support/community"
U14,H,LOCAL_STARTUP_SUPPORT,PRIMARY_SCOPE,"municipal startup support"
U15,H,LOCAL_STARTUP_SUPPORT,PRIMARY_SCOPE,"prefectural startup support"
U16,H,LOCAL_STARTUP_SUPPORT,PRIMARY_SCOPE,"municipal startup support"
U17,H,LOCAL_INCUBATION_COORDINATION,PRIMARY_SCOPE,"incubation/coworking support with H functions"
U18,H,LOCAL_STARTUP_SUPPORT,PRIMARY_SCOPE,"commissioned local support package"
U19,H,LOCAL_ENTREPRENEURSHIP_SUPPORT,PRIMARY_SCOPE,"municipal entrepreneurship/startup support"
U20,H,LOCAL_MATCHING_SUPPORT,PRIMARY_SCOPE,"Saga Startup Connect"
U21,P,OVERSEAS_PARTNER_INVESTOR_ACCESS,PRIMARY_SCOPE,"Saga Connect+"
U22,P,OUTSIDE_TECHNOLOGY_PARTNER_MATCHING,PRIMARY_SCOPE,"Aomori firms matched to outside-prefecture firms"
U23,H,LOCAL_STARTUP_CONSULTATION,PRIMARY_SCOPE,"AKISTA local consultation/mentoring"
U24,H,LOCAL_STARTUP_PLATFORM,PRIMARY_SCOPE,"regional startup platform"
U25,HP,INTEGRATED_LOCAL_OUTSIDE_STARTUP_SUPPORT,PRIMARY_SCOPE,"single commissioned package includes both components"
U26,H,LOCAL_ACCELERATION,PRIMARY_SCOPE,"annual acceleration / local support"
U27,P,GLOBAL_NETWORK_ACCESS,PRIMARY_SCOPE,"Fukuoka-CIC linkage"
U28,P,OUTSIDE_STARTUP_DEMONSTRATION_MATCHING,PRIMARY_SCOPE,"outside startup field matching"
U29,P,GLOBAL_NETWORK_CONSTRUCTION,PRIMARY_SCOPE,"dedicated external network procurement"
U30,H,LOCAL_INNOVATION_EXCHANGE,PRIMARY_SCOPE,"dedicated local exchange/support procurement"
Z01,0,FINANCE_ONLY,PRIMARY_SCOPE,"deep-tech commercialization expense subsidy; no H/P under strict rule"
Z02,0,FINANCE_ONLY,PRIMARY_SCOPE,"startup incorporation grant"
Z03,0,FINANCE_ONLY,PRIMARY_SCOPE,"startup expense subsidy; weaker same-principal boundary"
Z04,0,COMMUNICATION_ONLY,PRIMARY_SCOPE,"innovation-policy PR procurement; weaker zero boundary"
Z05,0,MENTORING_PROMOTION_ONLY,PRIMARY_SCOPE,"mentoring/media outreach below H threshold"
