unit_id,region,decision_year,preperiod_source_rule,actor_density,research_capacity,industrial_structure,local_linkage_proxy,external_linkage_proxy,merge_status
U01,Tokyo,2020,historical NISTEP regional-indicator edition required,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U02,Tokyo,2023,2020 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U03,Aichi,2024,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U04,Osaka,2013,historical NISTEP regional-indicator edition required,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U05,Osaka,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U06,Fukuoka,2017,historical NISTEP regional-indicator edition required,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U07,Ehime,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U08,Ishikawa,2024,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U09,Kagawa,2020,historical NISTEP regional-indicator edition required,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U10,Okayama,2019,historical NISTEP regional-indicator edition required,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U11,Kanagawa,2019,historical NISTEP regional-indicator edition required,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U12,Hiroshima,2013,historical NISTEP regional-indicator edition required,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U13,Kyoto,2020,historical NISTEP regional-indicator edition required,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U14,Kumamoto,2022,2020 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U15,Nagasaki,2019,historical NISTEP regional-indicator edition required,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U16,Okinawa,2021,2020 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U17,Toyama,2022,2020 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U18,Nagano,2026,2022 indicator / nearest pre-decision edition,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
U19,Kanagawa,2019,historical NISTEP regional-indicator edition required,AVAILABLE,AVAILABLE,AVAILABLE,same-prefecture university-industry collaboration absolute activity / research base,other-prefecture university-industry collaboration absolute activity / research base,MERGEABLE
