id,citation,year,source,formal_model,two_sided,multiple_markets_or_types,productivity_margin,access_margin,public_policy_or_welfare,classification,notes
S01,"Gehrig, Intermediation in Search Markets, JEMS 2:97-120","1993","doi:10.1111/j.1430-9134.1993.00097.x","YES","YES","intermediated vs private search","YES","channel participation","equilibrium","COMPONENT OVERLAP","generic costly-search intermediation"
S02,"Pissarides, Job Matchings with State Employment Agencies and Random Search, Economic Journal 89:818-833","1979","doi:10.2307/2231501","YES","YES","PES + random search","YES","alternative channel","public agency","STRUCTURALLY VERY CLOSE","classic public matching channel"
S03,"Fougère, Pradel & Roger, Does the public employment service affect search effort and outcomes?, EER 53:846-869","2009","doi:10.1016/j.euroecorev.2009.01.006","YES","YES","public contacts + private search","YES","private search participation/intensity","public service","STRUCTURALLY VERY CLOSE","crowd-out/reallocation"
S04,"Plesca, A General Equilibrium Evaluation of the Employment Service, Journal of Human Capital 4:274-329","2010","publisher/RePEc","YES","YES","PLX directed channel + other search","YES","second channel","public program + GE evaluation","STRUCTURALLY VERY CLOSE","two-channel directed search"
S05,"Jahn & Wagner, Do Targeted Hiring Subsidies and Profiling Techniques Reduce Unemployment?, IZA DP 3768","2008","IZA DP 3768","YES","YES","PES + random search","YES","alternative method","public reform + welfare","STRUCTURALLY VERY CLOSE","PES effectiveness can crowd out active search"
S06,"Holzner & Watanabe, Understanding the Role of the Public Employment Agency","2016/2018","working-paper lineage","YES","YES","PEA + decentralized/private search","YES","private search cost/channel","public agency + welfare","STRUCTURALLY VERY CLOSE","public technological matching parameter"
S07,"Merkl & Sauerbier, Public Employment Agency Reform Matching Efficiency and German Unemployment, IMF Economic Review 72:393-440","2024","doi:10.1057/s41308-023-00201-2","YES","YES","public + private channels","YES","private-channel participation/activation","public reform","STRUCTURALLY VERY CLOSE","matching efficiency and channel allocation"
S08,"Immorlica, Lucier, Manshadi & Wei, Designing Approximately Optimal Search on Matching Platforms, Management Science 69:4609-4626","2023","doi:10.1287/mnsc.2022.4601","YES","YES","many types and pair-specific rates","YES - meeting-rate intensity","YES - zero/positive type-pair rates restrict access","welfare-maximizing platform design","EXACT PRIOR ART - GENERAL-MODEL SUPERSET","decisive kill"
S09,"Teh, Wang & Watanabe, Strategic limitation of market accessibility: Search platform design and welfare, JET 216:105798","2024","doi:10.1016/j.jet.2024.105798","YES","YES","configurable meeting technology","meeting technology","YES - market accessibility","platform + social planner","STRUCTURALLY VERY CLOSE","meeting technology maps to accessibility"
S10,"Mekonnen, How to segment a search market: Information design and directed search, Theoretical Economics","2026","doi:10.3982/TE5350","YES","YES","endogenous submarkets","meeting function/tightness","YES - segmentation","planner first-best and constrained-efficient","STRUCTURALLY VERY CLOSE","segmentation changes endogenous search allocation"
S11,"Banerjee, Gollapudi, Kollias & Munagala, Segmenting Two-Sided Markets, WWW","2017","Google Research publication","YES","YES","visibility pools","not separate","YES - visibility graph","platform transaction/welfare objective","STRUCTURALLY VERY CLOSE","directed discovery controls who sees whom"
S12,"Kanoria & Saban, Facilitating the Search for Partners on Matching Platforms, Management Science 67","2021","Stanford GSB/publisher","YES","YES","heterogeneous search market","search design","YES - action/visibility restrictions","platform welfare","COMPONENT OVERLAP","platform restricts search to improve welfare"
S13,"Ashlagi et al., Assortment Planning for Two-Sided Sequential Matching Markets, Operations Research 70:2784-2803","2022","doi:10.1287/opre.2022.2327","YES","YES","menu-based matching","indirect","YES - assortment/menu","platform match objective","COMPONENT OVERLAP","choice breadth vs collision"
S14,"Aouad & Saban, Online Assortment Optimization for Two-Sided Matching Platforms, Management Science 69:2069-2087","2023","Stanford GSB/publisher","YES","YES","online matching assortments","indirect","YES - assortment exposure","platform match objective","COMPONENT OVERLAP","dynamic availability design"
S15,"Zheng, Saban & Ríos, Improving Match Rates in Dating Markets Through Assortment Optimization","2021","Columbia/Stanford research page","YES","YES","dynamic assortments","indirect","YES - assortment","platform match objective","COMPONENT OVERLAP","behavioral matching design"
S16,"Halaburda, Piskorski & Yıldırım, Competing by Restricting Choice: The Case of Matching Platforms, Management Science 64","2018","doi:10.1287/mnsc.2017.2797","YES","YES","restricted-choice platform","not H-like","YES - choice restriction","private platform","COMPONENT OVERLAP","more options can create same-side competition"
S17,"Gautier, Hu & Watanabe, Marketmaking Middlemen, RAND Journal of Economics 54:83-103","2023","doi:10.1111/1756-2171.12431","YES","YES","middleman vs market-making modes","mode-specific","mode choice","intermediary equilibrium","COMPONENT OVERLAP","endogenous intermediation mode"
S18,"Spray, Search Externalities in Firm-to-Firm Trade, IMF WP 2021/091","2021","doi:10.5089/9781513572611.001","YES","buyer-supplier","domestic + international","market-specific search externality","trade/access cost","welfare counterfactual","STRUCTURALLY VERY CLOSE","kills novelty of local/external search distinction"
S19,"Miyauchi, Matching and Agglomeration: Theory and Evidence From Japanese Firm-to-Firm Trade, Econometrica 92:1869-1905","2024","doi:10.3982/ECTA19697","YES","firm-to-firm","spatial matching","thickness/matching productivity","geography","welfare/GE","COMPONENT OVERLAP","thin-market and agglomeration foundation"
S20,"Shimer & Smith, Assortative Matching and Search, Econometrica 68:343-369","2000","doi:10.1111/1468-0262.00112","YES","YES","heterogeneous types","search intensity/friction","NO","efficiency foundation","FOUNDATIONAL COMPONENT","heterogeneous search matching"
S21,"Smith, The Marriage Model with Search Frictions, JPE 114:1124-1144","2006","doi:10.1086/510440","YES","YES","heterogeneous types","search friction","NO","equilibrium","FOUNDATIONAL COMPONENT","two-sided matching with search"
S22,"Lauermann & Nöldeke, Stable marriages and search frictions, JET 151:163-195","2014","doi:10.1016/j.jet.2013.11.001","YES","YES","marriage market","random meeting friction","NO","efficiency/stability","FOUNDATIONAL COMPONENT","decentralized matching benchmark"
S23,"Yang, Targeted search and the long tail effect, RAND Journal of Economics 44:733-756","2013","doi:10.1111/1756-2171.12036","YES","consumer-product","categories","YES - search targetability","category/type coverage","welfare/profit","COMPONENT OVERLAP","quality of search vs coverage"
