source,institution,date,geography,complementarity_evidence,strength,limitation,url
"首都圏における官民共創イベント企画・運営委託業務","Ehime Prefecture",2026,Ehime-Tokyo,"Explicit purpose is to strengthen networks between metropolitan firms and E:N BASE members and create mutual collaboration.","VERY STRONG","Program intent, not measured behavioral outcome.","https://www.pref.ehime.jp/site/nyusatsu/149716.html"
"NEXs Tokyoとは","Tokyo Metropolitan Government",2026,Japan,"NEXs uses Tokyo's information/human-network resources to connect startups, large firms, local governments and support institutions nationwide; DIVE helps regional startups use the metropolitan ecosystem.","VERY STRONG","Describes institutional objective rather than causal effect.","https://www.nexstokyo.metro.tokyo.lg.jp/about"
"NEXs Tokyo 連携事業創出プログラム","Tokyo Metropolitan Government",2026,Japan,"DIVE is explicitly designed for regional startups to accelerate using the metropolitan ecosystem; JUMP moves Tokyo startups into regions.","VERY STRONG","Program-level complementarity.","https://nexstokyo.metro.tokyo.lg.jp/program/collaborative"
"J-Startup地域版について","METI regional bureaus",2026,Japan,"Regional J-Startup is designed to connect local ecosystems with government, national supporters and Tokyo-concentrated people/capital rather than replace them.","STRONG","National policy framing, heterogeneous implementation.","https://www.chugoku.meti.go.jp/seisaku/tiiki/startup/gaiyou.pdf"
"J-Startup HOKKAIDO","Hokkaido Bureau of Economy, Trade and Industry",2026,Hokkaido,"Regional support is combined with Tokyo meetups and national J-Startup linkages.","STRONG","Event/linkage evidence, not participant-level behavior.","https://www.hkd.meti.go.jp/information/venture/startup.htm"
"仙台研究開発型スタートアップ育成","Sendai City",2024,Sendai,"Local six-month hands-on support includes Tokyo Demo Day to create matching opportunities with metropolitan supporters.","STRONG","Program design, not direct displacement evidence.","https://www.city.sendai.jp/kezai-chose/jigyosha/kezai/bijinesu/documents/r6inobebu.pdf"
"香川発スタートアップピッチ in Tokyo 2025","Kagawa Prefecture",2025,Kagawa-Tokyo,"Regional startups are brought to Tokyo Innovation Base to meet metropolitan corporations, investors and other actors.","STRONG","Event-based.","https://www.pref.kagawa.lg.jp/sangyo/shinki/tib.html"
"J-Startup WEST","Chugoku/Shikoku METI bureaus",2026,West Japan,"Regional ecosystem explicitly promotes horizontal connections, other-region investor matching and national/global expansion.","STRONG","Broad regional platform.","https://www.chugoku.meti.go.jp/seisaku/tiiki/startup.html"
"Fukuoka First Customer Alliance","Fukuoka City",2025-2026,Fukuoka-Tokyo,"Fukuoka joins Tokyo-led intermunicipal procurement framework, extending market access across regions.","STRONG","Procurement rather than general networking.","https://mirai.city.fukuoka.lg.jp/project/759/"
"No islands of entrepreneurship","Small Business Economics",2025,Europe,"Accelerator participation creates trans-local temporary relocation and resource exchange; trans-local exchange is described as the norm rather than exception.","STRONG contrary general evidence","European accelerator networks; not Japanese public hubs.","https://link.springer.com/article/10.1007/s11187-025-01026-1"
