source_id,unit_or_role,institution,source_type,url,variable_supported,evidence_label
S001,U01,NEXs Tokyo,official program page,https://www.nexstokyo.metro.tokyo.lg.jp/about,P-only program boundary; cross-region design,PRIMARY-OBSERVED
S002,U02,Tokyo Innovation Base,official site,https://tib.metro.tokyo.lg.jp/,H+P platform functions,PRIMARY-OBSERVED
S003,U03,Aichi Prefecture,official contract/press page,https://www.pref.aichi.jp/soshiki/startup/jigyokeiyaku.html,PFI/concession boundary and governance,PRIMARY-OBSERVED
S004,U04,Osaka Innovation Hub,official site,https://www.innovation-osaka.jp/ja/,OIH H/P portfolio,PRIMARY-OBSERVED
S005,U05,OIH GLOBAL BRIDGE,official program page,https://www.innovation-osaka.jp/oih-global-bridge/,2026 dedicated overseas P program,PRIMARY-OBSERVED
S006,U06,Fukuoka Growth Next,official site,https://growth-next.com/,H/P startup-support portfolio,PRIMARY-OBSERVED
S007,U07,E:N BASE,official site,https://en-base.pref.ehime.jp/,local co-creation H functions,PRIMARY-OBSERVED
S008,U08,Ishikawa Prefecture,official page,https://www.pref.ishikawa.lg.jp/syoko/startup/iib.html,IIB local exchange and Tokyo-resource import,PRIMARY-OBSERVED
S009,U09,Setouchi-i-Base,official facility page,https://setouchiibase.jp/pub/facility,H and outside-prefecture attraction/matching boundary,PRIMARY-OBSERVED
S010,U10,Okayama City,official page,https://www.city.okayama.jp/jigyosha/0000030583.html,MomoSta H and operating committee,PRIMARY-OBSERVED
S011,U11,K-NIC,official about page,https://www.k-nic.jp/about/,three-party governance; H and overseas-oriented support evidence,PRIMARY-OBSERVED
S012,U12,Hiroshima Prefecture,official facility page,https://www.pref.hiroshima.lg.jp/soshiki/247/innovationhubcamps.html,Camps H,PRIMARY-OBSERVED
S013,U13,Kyoto Prefecture,official startup page,https://www.pref.kyoto.jp/sangyo-sinko/startup/index.html,KOIN H boundary,PRIMARY-OBSERVED
S014,U14,XOSS POINT,official site,https://xosspoint.jp/,municipal H support,PRIMARY-OBSERVED
S015,U15,Nagasaki Prefecture,official startup page,https://www.pref.nagasaki.jp/bunrui/shigoto-sangyo/sangyoshien/jigyoshien/shinkigyou/startup/,CO-DEJIMA H,PRIMARY-OBSERVED
S016,U16,Okinawa City,official page,https://www.city.okinawa.okinawa.jp/k032-001/sangyou/kigyoushien/sogyoushien/34359.html,Lagoon KOZA commissioned H support,PRIMARY-OBSERVED
S017,U17,Toyama Prefecture,official page,https://www.pref.toyama.jp/100222/kensei/kenseiunei/kensei/soshiki/20/100222.html,SCOP TOYAMA H,PRIMARY-OBSERVED
