primitive,source_title,source_owner,date_or_status,stable_url,exact_fact,evidence_status,limitation
I1_shared_core,"NEXs Tokyoとは","東京都 / NEXs Tokyo","current 2026","https://www.nexstokyo.metro.tokyo.lg.jp/about","NEXs Tokyo describes itself as a community connecting startups, large firms, local governments and support institutions across Japan, explicitly leveraging Tokyo's concentration of information and human networks and providing a Tokyo/Marunouchi community space.",SUPPORTED,"NEXs Tokyo is one candidate central ecosystem, not proof that every regional hub uses the same core."
I1_shared_core,"Startup Ecosystem Tokyo Consortium","内閣府","current programme","https://www8.cao.go.jp/cstp/openinnovation/ecosystem/kyotentoshi.html","The Tokyo consortium is organized around dense central Tokyo startup/VC/corporate concentrations and connects surrounding research cities through a hub-and-spoke architecture.",SUPPORTED,"The first-period geography is Tokyo-region focused rather than nationwide."
I2_core_network_value,"NEXs Tokyo community space / membership","東京都 / NEXs Tokyo","current 2026","https://www.nexstokyo.metro.tokyo.lg.jp/about/community","The official description emphasizes information, expert networks, events, partners and mutual connections as the source of value for regional and Tokyo startups using the central community.",SUPPORTED,"It supports network-value plausibility but does not estimate a structural beta."
I2_core_network_value,"NEXs Tokyo membership benefits","東京都 / NEXs Tokyo","current 2026","https://www.nexstokyo.metro.tokyo.lg.jp/member-recruitment","Matching concierges, partners, mentors, information sharing and connection opportunities are explicit member benefits.",SUPPORTED,"No causal estimate that each additional participant raises utility linearly."
I3_regional_entry_diversion,"首都圏における官民共創イベント企画・運営委託業務","愛媛県","2026-06-24","https://www.pref.ehime.jp/site/nyusatsu/149716.html","Ehime states that E:N BASE activities will be taken to the metropolitan area to strengthen networks between E:N BASE members and metropolitan companies and create mutual collaboration.",PLAUSIBLE_BUT_INDIRECT,"This evidence points toward complementarity/linkage rather than direct crowd-out of the core; it does not establish diversion."
I3_regional_entry_diversion,"あたらしい愛媛の未来を切り拓くDX実行プラン","愛媛県","revised 2025-03","https://www.pref.ehime.jp/page/60521.html","Ehime explicitly describes digital, metropolitan and planned in-prefecture co-creation hubs as three hubs to be utilized in promoting public-private co-creation.",PLAUSIBLE_BUT_INDIRECT,"Portfolio design is more consistent with complementarity than single-homing substitution."
I3_regional_entry_diversion,"NEXs Tokyo collaborative programme","東京都 / NEXs Tokyo","current 2026","https://nexstokyo.metro.tokyo.lg.jp/program/collaborative","The DIVE course is designed for regional startups to use the metropolitan ecosystem for business acceleration, while JUMP connects Tokyo startups to regions.",PLAUSIBLE_BUT_INDIRECT,"Directly weakens a literal claim that local ecosystems necessarily substitute for Tokyo participation. Partial substitution in finite founder time remains plausible but unmeasured."
I4_common_core_across_regions,"NEXs Tokyo startup membership","東京都 / NEXs Tokyo","current 2026","https://www.nexstokyo.metro.tokyo.lg.jp/member/startup","Membership is searchable across all Japanese regions, including Shikoku, and the same programme/community is offered to startups based outside Tokyo.",SUPPORTED,"Common programme access is not identical to identical effective outside options for every firm."
I4_common_core_across_regions,"NEXs Tokyo programme concept","東京都 / NEXs Tokyo","current 2026","https://www.nexstokyo.metro.tokyo.lg.jp/about","The programme explicitly connects startups and support actors from nationwide regions through Tokyo resources.",SUPPORTED,"Heterogeneous sector-specific networks may mean firms do not all share the same effective core."
I5_cross_regional_friction,"E:N BASE opening / operation","愛媛県","opened 2026-05","https://www.pref.ehime.jp/page/140858.html","E:N BASE is a physical local facility in Ehime with resident community managers, local events, workshops and project support.",PLAUSIBLE_BUT_INDIRECT,"Physical location and local relationships make cross-regional use more costly, but tau is not directly measured."
