source_id,case_or_topic,source_type,url,evidence_used,evidence_level
S01,E:N BASE,official facility,https://en-base.pref.ehime.jp/,membership/free access/co-creation purpose,PRIMARY-OBSERVED
S02,E:N BASE,official partner list,https://en-base.pref.ehime.jp/co-creation-partner,561 partner organizations and industry list as of 2026-07-15,PRIMARY-OBSERVED
S03,E:N BASE,procurement result,https://www.pref.ehime.jp/site/nyusatsu/120801.html,operator JV; public procurement; grant condition,PRIMARY-OBSERVED
S04,E:N BASE,procurement result,https://www.pref.ehime.jp/site/nyusatsu/135524.html,separate consultation/accompaniment contract and contractor,PRIMARY-OBSERVED
S05,STATION Ai,Aichi contract,https://www.pref.aichi.jp/soshiki/startup/jigyokeiyaku.html,PFI contract; SPC operator; contract horizon,PRIMARY-OBSERVED
S06,STATION Ai,Aichi annual report,https://www.pref.aichi.jp/uploaded/attachment/606610.pdf,BT+concession; matching/community services,PRIMARY-OBSERVED
S07,STATION Ai,Aichi project overview,https://www.pref.aichi.jp/uploaded/attachment/609991.pdf,global support functions and overseas network,PRIMARY-OBSERVED
S08,STATION Ai,Aichi globalization specification,https://www.pref.aichi.jp/uploaded/attachment/599865.pdf,extra-regional/overseas startup intake and global ecosystem objective,PRIMARY-OBSERVED
S09,Tokyo Innovation Base,official facility,https://tib.metro.tokyo.lg.jp/,Global/Growth/Collaboration/Connect services,PRIMARY-OBSERVED
S10,Tokyo Innovation Base,Tokyo procurement,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base,public ownership and contracted preparation/operation,PRIMARY-OBSERVED
S11,Tokyo Innovation Base,official database,https://tib.metro.tokyo.lg.jp/explore,participant/startup location filters including outside Tokyo,PRIMARY-OBSERVED
S12,NEXs Tokyo,official program,https://www.nexstokyo.metro.tokyo.lg.jp/about,JUMP/DIVE cross-region architecture and overseas support,PRIMARY-OBSERVED
S13,NEXs Tokyo,official member list,https://www.nexstokyo.metro.tokyo.lg.jp/member/startup,regional filters including overseas,PRIMARY-OBSERVED
S14,NEXs Tokyo,official matching tool,https://www.nexstokyo.metro.tokyo.lg.jp/matter,cross-member collaboration needs and matching,PRIMARY-OBSERVED
S15,Osaka Innovation Hub,official facility,https://www.innovation-osaka.jp/,local community plus global startup support,PRIMARY-OBSERVED
S16,Osaka Innovation Hub,Osaka City release,https://www.city.osaka.lg.jp/hodoshiryo/keizaisenryaku/0000676019.html,2013 origin and 2026 renewal; global hub purpose,PRIMARY-OBSERVED
S17,Osaka Innovation Hub,Osaka City release,https://www.city.osaka.lg.jp/hodoshiryo/keizaisenryaku/0000680666.html,2026 OIH GLOBAL BRIDGE as dedicated overseas program,PRIMARY-OBSERVED
S18,Osaka Innovation Hub,Osaka City program page,https://www.city.osaka.lg.jp/keizaisenryaku/page/0000597201.html,OBDA operation and grant program,PRIMARY-OBSERVED
S19,Fukuoka Growth Next,Fukuoka City,https://www.city.fukuoka.lg.jp/business/startup/index.html,official designation as public-private startup facility,PRIMARY-OBSERVED
S20,Fukuoka Growth Next,official facility,https://growth-next.com/,matching/incubation/overseas support functions,PRIMARY-OBSERVED
S21,Fukuoka external linkage,Fukuoka City,https://www.city.fukuoka.lg.jp/keizai/r-support/business/R7nd/fukuokacity_startup_mou_cic-2.html,2025 CIC MoU and international support-network expansion,PRIMARY-OBSERVED
S22,Setouchi-i-Base,official facility,https://setouchiibase.jp/pub/facility,local support plus outside-prefecture attraction and matching,PRIMARY-OBSERVED
