source_id,family,year,title,source_type,url,evidence_use,classification
S01,Search,1993,Intermediation in Search Markets,publisher,https://onlinelibrary.wiley.com/doi/10.1111/j.1430-9134.1993.00097.x,generic search intermediary formal benchmark,STRUCTURALLY VERY CLOSE
S02,Search,2025,Middlemen in Search Equilibrium: A Survey,NBER,https://www.nber.org/papers/w34477,frontier map of search intermediation,FRONTIER SURVEY
S03,Search,2021,Efficiency in search and matching models: A generalized Hosios condition,publisher,https://www.sciencedirect.com/science/article/pii/S0022053121000259,thick-market and congestion externalities,COMPONENT OVERLAP
S04,Search,2021,Search Externalities in Firm-to-Firm Trade,IMF,https://www.imf.org/en/publications/wp/issues/2021/03/19/search-externalities-in-firm-to-firm-trade-50164,domestic/international search externalities,STRUCTURALLY VERY CLOSE
S05,Search,2022,Innovation search: the role of innovation intermediaries in the search process,publisher,https://onlinelibrary.wiley.com/doi/10.1111/radm.12534,innovation intermediary search; local/distant dimension,STRUCTURALLY VERY CLOSE
S06,Search,2016,Where and how to search? Search paths in open innovation,publisher,https://www.sciencedirect.com/science/article/pii/S0048733315001389,local/distant innovation search with intermediary,STRUCTURALLY VERY CLOSE
S07,Search,2018,Searching for partners in open innovation settings: how to overcome the constraints of local search,university repository,https://research.tue.nl/en/publications/searching-for-partners-in-open-innovation-settings-how-to-overcom-3/,distant partner identification via intermediaries,STRUCTURALLY VERY CLOSE
S08,Search,,InnovationXchange: A Case Study in Innovation Intermediation,university repository,https://research.cbs.dk/en/publications/innovationxchange-a-case-study-in-innovation-intermediation/,search/match across geographic and disciplinary boundaries,COMPONENT OVERLAP
S09,Search,2023,Search Frictions and Efficiency in Decentralized Transport Markets,publisher,https://academic.oup.com/qje/article/138/4/2451/7181331,spatial matching thick-market/congestion efficiency,COMPONENT OVERLAP
S10,Search,2026,How to Segment a Search Market: Information Design and Directed Search,publisher,https://onlinelibrary.wiley.com/doi/full/10.3982/TE5350,public segmentation and endogenous submarket allocation,STRUCTURALLY VERY CLOSE
S11,Search,2020,Targeted search endogenous market segmentation and wage inequality,RePEc,https://ideas.repec.org/a/spr/joecth/v69y2020i2d10.1007_s00199-018-01172-6.html,targeted search across submarkets,COMPONENT OVERLAP
S12,Search,2026,What Happens in Paris Does Not Stay in Paris: Trade Fairs and Search and Matching Frictions,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6923642,subsidized external matching and congestible platform,STRUCTURALLY VERY CLOSE
