authors,year,title,journal_or_series,doi_or_stable_url,search_family,reading_depth,proposition_1_risk,proposition_2_risk,full_text_inspected,appendix_or_proof_inspected,classification,final_disposition
"Peitz, Martin; Sato, Susumu",2026,"Asymmetric Platform Oligopoly","RAND Journal of Economics","10.1111/1756-2171.70008","asymmetric platform entry","DEEP","VERY_HIGH","VERY_HIGH","yes","main-text propositions","STRUCTURALLY_VERY_CLOSE","No immediate residual-core bilateral location theorem"
"Tan, Guofu; Zhou, Junjie",2021,"The Effects of Competition and Entry in Multi-sided Markets","Review of Economic Studies","10.1093/restud/rdaa036","multi-sided entry","DEEP_MODEL","VERY_HIGH","HIGH","published model/results","selected results","STRUCTURALLY_VERY_CLOSE","Generic network-entry reversal absorbed; no location necessity"
"Amir, Rabah; Evstigneev, Igor; Gama, Adriana",2021,"Oligopoly with network effects: firm-specific versus single network","Economic Theory","10.1007/s00199-019-01229-0","network architecture","DEEP","VERY_HIGH","VERY_HIGH","yes","Proposition 3","STRUCTURALLY_VERY_CLOSE","Kills broad network-location claim; residual-core theorem survives"
"Amir, Rabah; Lazzati, Natalia",2011,"Network effects, market structure and industry performance","Journal of Economic Theory","","single compatible network","MODEL","HIGH","MEDIUM","yes/record","selected results","STRUCTURALLY_CLOSE","Common-network entry viability prior art"
"Gama, Adriana",2019,"Free Versus Second-Best Entry In Cournot Oligopolies With Firm-Specific Networks","Bulletin of Economic Research","10.1111/boer.12192","firm-specific free entry","MODEL","HIGH","MEDIUM","metadata/model results","no","COMPONENT_OVERLAP","Entry welfare ambiguity prior art"
"Gama, Adriana; Lahmandi-Ayed, Rim; Pereira, Ana Elisa",2020,"Entry and mergers in oligopoly with firm-specific network effects","Economic Theory","10.1007/s00199-020-01316-7","firm-specific network entry","MODEL","HIGH","MEDIUM","model/results","no","COMPONENT_OVERLAP","Strong generic network-entry threat"
"Gama, Adriana; Samano, Mario",2021,"Free and second-best entry in oligopolies with network effects","Journal of Public Economic Theory","10.1111/jpet.12512","compatible network free entry","DEEP_MODEL","HIGH","MEDIUM","author version","selected model/results","STRUCTURALLY_CLOSE","Compatible free-entry prior art; no bilateral residual core"
"Basak",2021,"Free entry in network industries with compatibility choices","Journal of Economics & Management Strategy","10.1111/jems.12431","compatibility and free entry","MODEL","HIGH","MEDIUM","model/results","no","STRUCTURALLY_CLOSE","Compatibility alters entry efficiency"
"Economides, Nicholas",1996,"Network Externalities, Complementarities, and Invitations to Enter","European Journal of Political Economy","10.1016/0176-2680(95)00014-3","installed base / entry","DEEP","HIGH","MEDIUM","yes","main results","STRUCTURALLY_CLOSE","Network leader can invite/subsidize entry; no entrant-to-entrant Gamma"
"Church, Jeffrey; Gandal, Neil",1996,"Strategic entry deterrence: Complementary products as installed base","European Journal of Political Economy","10.1016/0176-2680(95)00020-8","installed base","MODEL","HIGH","MEDIUM","publisher abstract/model summary","no","STRUCTURALLY_CLOSE","Installed-base deterrence; one entrant"
"Xie; Sirbu",1995,"Price Competition and Compatibility in the Presence of Positive Demand Externalities","Management Science","","installed base / compatibility","MODEL","MEDIUM","LOW","model summary","no","COMPONENT_OVERLAP","Incumbent/entrant compatibility ancestor"
"Manenti; Somma",2008,"One-way compatibility, two-way compatibility and entry in network industries","International Journal of the Economics of Business","","compatibility entry","MODEL","MEDIUM","LOW","model/results","no","COMPONENT_OVERLAP","One incumbent/entrant"
"Fudenberg, Drew; Tirole, Jean",2000,"Pricing a Network Good to Deter Entry","Journal of Industrial Economics","","network entry deterrence","MODEL","MEDIUM","LOW","model/results","no","COMPONENT_OVERLAP","Classic one-entrant deterrence"
"Feng, Yinbo; Hu, Ming",2024,"Market Entry and Competition Under Network Effects","Operations Research","10.1287/opre.2022.0275","network entry frontier","MODEL","HIGH","MEDIUM","primary working/publisher version","selected results","STRUCTURALLY_CLOSE","Network strength causes phase changes; no shared residual core"
"Campbell, Arthur; Ushchev, Philip; Zenou, Yves",2024,"The Network Origins of Entry","Journal of Political Economy","10.1086/730550","social network entry","MODEL","MEDIUM","LOW","publisher model/results","no","COMPONENT_OVERLAP","Network density changes one entrant viability"
"Zhang, Yifan",2026,"Price Competition with Network Spillovers: Entry, Cohesiveness and Interoperability","Cambridge Working Papers in Economics","10.17863/CAM.131221","network spillovers entry","MODEL","HIGH","MEDIUM","primary repository","no","STRUCTURALLY_CLOSE","Current incumbent/entrant frontier; no bilateral location theorem"
"Bardey, David; Cremer, Helmuth; Lozachmeur, Jean-Marie",2014,"Competition in Two-Sided Markets with Common Network Externalities","Review of Industrial Organization","","common network externality","DEEP_MODEL","MEDIUM","LOW","author PDF","selected propositions","COMPONENT_OVERLAP","Common-network terminology/result prior art; no entry stage"
"Liu, Youming; Rivadeneyra, Francisco; Reshidi, Edona",2026,"Public vs. Private Payment Platforms: Market Impacts and Optimal Policy","Bank of Canada Staff Working Paper 2026-10","10.34989/swp-2026-10","public/private platform","DEEP","HIGH","HIGH","yes","model/conclusion","STRUCTURALLY_VERY_CLOSE","Core fragmentation component present; no second entrant"
"Adachi; Sato; Tremblay",2023,"Platform Oligopoly with Endogenous Homing: Implications for Mergers and Free Entry","Journal of Industrial Economics","10.1111/joie.12345","platform free entry","MODEL","HIGH","MEDIUM","model/results","no","STRUCTURALLY_CLOSE","Homing/free entry prior art"
"Ding; Ko; Shen",2022,"Partial Compatibility in Two-Sided Markets","Economic Modelling","10.1016/j.econmod.2022.105989","three-platform compatibility","MODEL","MEDIUM","LOW","model/results","no","COMPONENT_OVERLAP","Compatibility regimes; no entry location theorem"
"Akutagawa; Mun",2005,"Private Goods Provided by Local Governments","Regional Science and Urban Economics","10.1016/j.regsciurbeco.2003.05.002","local provision","MODEL","MEDIUM","LOW","model/results","no","STRUCTURALLY_CLOSE","Binary local provision/multiple equilibria"
"Takahashi",2004,"Spatial Competition of Governments in the Investment on Public Facilities","Regional Science and Urban Economics","","local facility investment","MODEL","MEDIUM","MEDIUM","model/results","no","STRUCTURALLY_CLOSE","Two governments/third-region demand; no network outside option"
