unit_id,principal_id,principal_year_id,region_year_id,portfolio_family_id,architecture
U01,PR01,PR01_2020,Tokyo_2020,TOKYO_STARTUP_POLICY,P
U02,PR01,PR01_2023,Tokyo_2023,TOKYO_STARTUP_POLICY,HP
U03,PR02,PR02_2024,Aichi_2024,U03,HP
U04,PR03,PR03_2013,Osaka_2013,OIH_FAMILY,HP
U05,PR03,PR03_2026,Osaka_2026,OIH_FAMILY,P
U06,PR04,PR04_2017,Fukuoka_2017,FUKUOKA_STARTUP_FAMILY,HP
U07,PR05,PR05_2026,Ehime_2026,U07,H
U08,PR06,PR06_2024,Ishikawa_2024,U08,HP
U09,PR07,PR07_2020,Kagawa_2020,U09,HP
U10,PR08,PR08_2019,Okayama_2019,OKAYAMA_STARTUP_FAMILY,H
U11,PR09,PR09_2019,Kanagawa_2019,U11,HP
U12,PR10,PR10_2013,Hiroshima_2013,HIROSHIMA_INNOVATION_FAMILY,H
U13,PR11,PR11_2020,Kyoto_2020,U13,H
U14,PR12,PR12_2022,Kumamoto_2022,U14,H
U15,PR13,PR13_2019,Nagasaki_2019,U15,H
U16,PR14,PR14_2021,Okinawa_2021,U16,H
U17,PR15,PR15_2022,Toyama_2022,U17,H
U18,PR16,PR16_2026,Nagano_2026,U18,H
U19,PR17,PR17_2019,Kanagawa_2019,U19,H
U20,PR18,PR18_2024,Saga_2024,SAGA_STARTUP_2024,H
U21,PR18,PR18_2024,Saga_2024,SAGA_STARTUP_2024,P
U22,PR19,PR19_2024,Aomori_2024,U22,P
U23,PR20,PR20_2024,Akita_2024,AKITA_STARTUP_FAMILY,H
U24,PR21,PR21_2023,Iwate_2023,U24,H
U25,PR22,PR22_2026,Mie_2026,U25,HP
U26,PR23,PR23_2024,Yamanashi_2024,U26,H
U27,PR04,PR04_2025,Fukuoka_2025,FUKUOKA_STARTUP_FAMILY,P
U28,PR20,PR20_2026,Akita_2026,AKITA_STARTUP_FAMILY,P
U29,PR08,PR08_2026,Okayama_2026,OKAYAMA_STARTUP_FAMILY,P
U30,PR08,PR08_2026,Okayama_2026,OKAYAMA_STARTUP_FAMILY,H
Z01,PR01,PR01_2026,Tokyo_2026,TOKYO_STARTUP_POLICY,0
Z02,PR08,PR08_2026,Okayama_2026,OKAYAMA_STARTUP_FAMILY,0
Z03,PR24,PR24_2026,Tokyo_2026,TOKYO_STARTUP_POLICY,0
Z04,PR10,PR10_2026,Hiroshima_2026,HIROSHIMA_INNOVATION_FAMILY,0
Z05,PR18,PR18_2024,Saga_2024,SAGA_STARTUP_2024,0
