unit_id,region,principal,governing_coalition,portfolio_program,start_year,end_year,decision_episode,source_boundary,eligible,exclusion_reason
U01,Tokyo,Tokyo Metropolitan Government,,NEXs Tokyo,2020,,program launch/renewal,official program scope,YES,
U02,Tokyo,Tokyo Metropolitan Government,,Tokyo Innovation Base,2023,,platform launch/annual portfolio,official TIB strategy/program portfolio,YES,
U03,Aichi,Aichi Prefecture,,STATION Ai concession portfolio,2024,2034,PFI/concession launch,concession/public-service portfolio,YES,
U04,Osaka,Osaka City,,Osaka Innovation Hub operating portfolio,2013,,ongoing city/OBDA portfolio,OIH operating portfolio,YES,
U05,Osaka,Osaka City,,OIH GLOBAL BRIDGE,2026,2027,new program launch,dedicated overseas-support program,YES,
U06,Fukuoka,Fukuoka City,,Fukuoka Growth Next,2017,,facility/program operation,city public-private startup-support portfolio,YES,
U07,Ehime,Ehime Prefecture,,E:N BASE,2026,,commissioning/launch,prefectural outsourced co-creation hub,YES,
U08,Ishikawa,Ishikawa Prefecture,,Ishikawa Innovation Base,2024,,program portfolio,prefectural startup-support initiative,YES,
U09,Kagawa,Kagawa Prefecture,,Setouchi-i-Base,2020,,designated-management portfolio,facility/program boundary,YES,
U10,Okayama,Okayama City,Okayama Startup Support Hub Operating Committee,MomoSta,2019,,operating-committee portfolio,joint operating program,YES,
U11,Kanagawa,NEDO + Kawasaki City + Kawasaki Industrial Promotion Foundation,three-party governing coalition,K-NIC,2019,,joint-operation program,three-party operation boundary,YES,
U12,Hiroshima,Hiroshima Prefecture,,Innovation Hub Hiroshima Camps,2013,,facility/program operation,prefectural hub portfolio,YES,
U13,Kyoto,Kyoto Prefecture,,KOIN,2020,,program/facility portfolio,prefectural startup support,YES,
U14,Kumamoto,Kumamoto City,,XOSS POINT,2022,,facility/program operation,municipal startup-support portfolio,YES,
U15,Nagasaki,Nagasaki Prefecture,,CO-DEJIMA,2019,,program/facility operation,prefectural startup-support portfolio,YES,
U16,Okinawa,Okinawa City,,Startup Lab Lagoon KOZA,2021,,outsourced operation,municipal startup-support portfolio,YES,
U17,Toyama,Toyama Prefecture,,SCOP TOYAMA,2022,,facility/management portfolio,prefectural incubation/coworking support,YES,
U18,Nagano,Nagano Prefecture,,Shinshu Startup Station outsourced operation,2026,,annual/multi-year procurement,prefectural commissioned support package,YES,
U19,Kanagawa,Yokohama City,,YOXO BOX,2019,,municipal support portfolio,entrepreneurship/startup-support program,YES,
U20,Saga,Saga Prefecture,,Startup Connect,2024,,program portfolio,prefectural startup matching/support,YES,
U21,Saga,Saga Prefecture,,Startup Connect+,2024,,new P module/program,overseas counterpart/investor introduction,YES,
U22,Aomori,Aomori Prefecture,,AOMORI OPEN INNOVATION PROGRAM Blue Ocean,2024,,annual program,outside-company open-innovation matching,YES,
U23,Akita,Akita Prefecture,,AKISTA consultation portfolio,2024,,startup-support program,local consultation/mentoring,YES,
U24,Iwate,Iwate Prefecture,Iwate Startup Platform coalition,Iwate Startup Platform support,2023,,platform launch/operation,prefectural support platform,YES,
U25,Mie,Mie Prefecture,,MIE StartUp FIELD + one-stop commissioned package,2026,,commissioning episode,one package includes local support and outside-startup matching,YES,
U26,Yamanashi,Yamanashi Prefecture,,Yamanashi acceleration program,2024,,annual acceleration program,mentoring/matching portfolio,YES,
U27,Fukuoka,Fukuoka City,Fukuoka City + CIC partnership,Fukuoka-CIC linkage,2025,,MoU/network expansion,city startup-support global linkage,YES,
U28,Akita,Akita Prefecture,,Outside-startup demonstration support,2026,,annual program,outside startup field matching/demonstration,YES,
U29,Okayama,Okayama City,,Global expansion network construction commission,2026,,procurement/commission,external network construction,YES,
U30,Okayama,Okayama City,,Innovation exchange support commission,2026,,procurement/commission,local innovation exchange/support,YES,
Z01,Tokyo,Tokyo Metropolitan Government,,Deep-tech commercialization expense subsidy,2026,,subsidy decision,bounded grant-only program,YES,
Z02,Okayama,Okayama City,,Startup incorporation grant,2026,,grant program,bounded financial-support-only program,YES,
Z03,Tokyo,Tokyo Metropolitan Government + Tokyo SME Support Center,joint subsidy administration,Startup expense subsidy,2026,,subsidy program,bounded grant-only program,YES,
Z04,Hiroshima,Hiroshima Prefecture,,Innovation-policy PR commission,2026,,PR procurement,innovation-policy communication commission,YES,
Z05,Saga,Saga Prefecture,,Startup Promote,2024,,annual startup-support menu,mentoring + media outreach; no matching/external brokerage under strict rule,YES,
X01,Tokyo,multiple independent public principals,,Tokyo prefecture-year union,2026,,regional aggregation,union of independent programs,NO,multiple principals; rejected unit
X02,Ehime,multiple independent public principals,,Ehime prefecture-year union,2026,,regional aggregation,union of independent programs,NO,multiple principals; rejected unit
X03,Osaka,multiple independent public principals,,Osaka prefecture-year union,2026,,regional aggregation,union of independent programs,NO,multiple principals; rejected unit
X04,Tokyo,Tokyo Metropolitan Government,,NEXs + TIB synthetic combined portfolio,2026,,researcher-created aggregation,no single documented joint portfolio boundary,NO,synthetic aggregation
X05,National/digital,no local identifiable principal,,nationwide platform availability,2026,,context exposure,no local commissioning episode,NO,context only; not local choice unit
