case,region,level,status_2026,provisional_architecture,H_functions,P_functions,public_role,screening_status,primary_source
E:N BASE,Ehime,prefecture,operating,H,"local matching; community management; co-creation project formation","not yet explicit as a dedicated extra-regional service",owner/funder; operation outsourced,usable,https://en-base.pref.ehime.jp/
STATION Ai,Aichi,prefecture,operating,HP,"community; startup-corporate matching; local co-creation","global support; overseas and extra-regional startup intake; international partner network",PFI/concession owner and policy sponsor,usable,https://www.pref.aichi.jp/soshiki/startup/jigyokeiyaku.html
Tokyo Innovation Base,Tokyo,metropolitan,operating,HP,"collaboration; matching; open innovation; local startup support","Global pillar; domestic/foreign actors and programs",owner/funder; contracted operation,usable,https://tib.metro.tokyo.lg.jp/
NEXs Tokyo,Tokyo,metropolitan,operating,P,"limited local-community function but not the core local matching architecture","explicit cross-region JUMP/DIVE matching; nationwide and overseas expansion",Tokyo-run program,usable,https://www.nexstokyo.metro.tokyo.lg.jp/about
Osaka Innovation Hub,Osaka,city,operating,HP,"startup community; matching; acceleration","domestic/foreign talent and capital; global programs; OIH GLOBAL BRIDGE",city-owned policy program; OBDA operation,usable,https://www.innovation-osaka.jp/
Fukuoka Growth Next,Fukuoka,city,operating,HP,"startup community; expert and human-resource matching; incubation","overseas expansion and global support; city international hub network",public-private facility,usable,https://growth-next.com/
YOXO BOX,Yokohama,city,operating,H,"entrepreneurship programs; regional player workshops; startup support","extra-regional function not sufficiently explicit in screened source",city support,usable-with-gap,https://www.city.yokohama.lg.jp/business/keizai/sougyo/jisedai/yoxo_box.html
K-NIC,Kawasaki,city+nation,operating,H,"one-stop startup support; partner matching; programs","national partner reach plausible but geographic P not separately coded",NEDO+Kawasaki+foundation three-party,usable,https://www.k-nic.jp/about/
Innovation Hub Hiroshima Camps,Hiroshima,prefecture,operating,H,"community; events; local project/business creation","extra-regional function not explicit in core facility description",prefectural facility,usable,https://www.pref.hiroshima.lg.jp/soshiki/247/innovationhubcamps.html
Setouchi-i-Base,Kagawa,prefecture,operating,HP,"local activity; coordinator consultation; business matching","explicit goal to attract people and firms from outside prefecture; broad matching",prefectural facility under designated manager,usable,https://setouchiibase.jp/pub/facility
Ishikawa Innovation Base,Ishikawa,prefecture,operating,HP,"prefectural startup creation and exchange; consultation","explicit import of Tokyo resources; metro-company/investor collaboration",prefectural initiative,usable,https://www.pref.ishikawa.lg.jp/syoko/startup/iib.html
KOIN,Kyoto,prefecture,operating,H,"consultation; learning; exchange; coworking","prefecture has external finance/foreign programs but KOIN-specific P needs separation",prefectural startup support,usable-with-gap,https://www.pref.kyoto.jp/sangyo-sinko/startup/index.html
Momotaro Startup Cafe (MomoSta),Okayama,city,operating,H,"events; consultation; accelerators; local startup support","dedicated extra-regional brokerage not explicit",city+local financial institutions operating committee,usable,https://www.city.okayama.jp/jigyosha/0000030583.html
XOSS POINT.,Kumamoto,city,operating,H,"entrepreneur community; consultation; startup programs","extra-regional service not explicit in core mission",municipal startup facility,usable,https://xosspoint.jp/
CO-DEJIMA,Nagasaki,prefecture,operating,H,"startup exchange; seminars; acceleration","P not explicit in screened prefectural page",prefectural startup facility,usable,https://www.pref.nagasaki.jp/bunrui/shigoto-sangyo/sangyoshien/jigyoshien/shinkigyou/startup/
Startup Lab Lagoon KOZA,Okinawa City,city,operating,H,"entrepreneurship support; startup school; events","P not explicit in municipal description",municipal contracted operation,usable,https://www.city.okinawa.okinawa.jp/k032-001/sangyou/kigyoushien/sogyoushien/34359.html
SCOP TOYAMA,Toyama,prefecture,operating,H,"incubation; coworking; workshops; exchange","P not explicit in screened source",prefectural facility; joint management group,usable,https://www.pref.toyama.jp/100222/kensei/kenseiunei/kensei/soshiki/20/100222.html
Shinshu Startup Station,Nagano,prefecture,operating,H,"startup consultation and incubation at two regional sites","P not explicit in screened source",prefectural startup support,usable,https://www.pref.nagano.lg.jp/keieishien/sangyo/shokogyo/sogyo/sss.html
